"Id","baseMean","log2foldchange.LLO.vs.Neg","BH.adjusted.p.values","LLO1_raw","LLO2_raw","LLO3_raw","Neg1_raw","Neg2_raw","Neg3_raw","LLO1_norm","LLO2_norm","LLO3_norm","Neg1_norm","Neg2_norm","Neg3_norm"
"78","ENSG00000125740",37699.8079986908,7.02094193860272,0,1380,1344,928,2573,2081,2468,1331.29785089744,1245.03473047441,953.647418916667,2813.30276284396,2303.10733286257,2124.88786705636
"131","ENSG00000087074",29532.0822066349,1.38668116514116,2.4987864902165e-15,22,21,44,6,8,13,21.2235889273505,19.4536676636627,45.2160414141523,6.56036400196805,8.85384846847698,11.1926832543487
"195","ENSG00000162772",20788.4802930783,2.142611640133,1.03493843026083e-33,2400,2418,2801,683,657,672,2315.30061025642,2239.95087670174,2878.41209093274,746.788102224029,727.122305473672,578.575626686334
"237","ENSG00000160888",17382.805769463,1.39508313938417,7.11919915667114e-12,27,27,36,9,4,13,26.0471318653847,25.0118584247092,36.9949429752155,9.84054600295207,4.42692423423849,11.1926832543487
"335","ENSG00000175592",14556.1294427151,1.30533483829022,2.36672182771249e-13,3568,4807,3767,1042,2004,2390,3442.08024058121,4453.03716472508,3871.10972743436,1139.31654834178,2217.88904135348,2057.73176753027
"534","ENSG00000164442",13763.552177568,1.46879894973411,1.25689739647392e-18,1864,1754,1502,721,675,828,1798.21680729915,1624.84443247926,1543.51123191038,788.337074236494,747.043464527745,712.887825738519
"564","ENSG00000134294",13017.4654879602,1.0159801346705,8.94020065678106e-05,14,13,16,3,0,0,13.5059202264958,12.0427466489341,16.4421968778736,3.28018200098402,0,0
"1061","ENSG00000171223",11950.5759859505,1.26861908934103,1.9744685232829e-08,110,117,143,24,25,38,106.117944636753,108.384719840407,146.952134595995,26.2414560078722,27.6682764639906,32.7170741280963
"1115","ENSG00000251562",11519.6571489498,1.05860027776402,0.00169756664902502,4307,4329,3622,2178,1559,2026,4154.99988682267,4010.23463409505,3722.10231822863,2381.4121327144,1725.39372029445,1744.3366364085
"1162","ENSG00000177606",11422.599469825,2.08166624928073,8.11765839547437e-30,21,11,17,0,0,0,20.2588803397437,10.1900163952519,17.4698341827407,0,0,0
"1240","ENSG00000148339",8838.52907906973,1.25758448725956,3.94975940219602e-11,2526,3001,2007,513,984,1215,2436.85389229488,2780.02174565009,2062.46807086827,560.911122168268,1089.02336162267,1046.08539646413
"1315","ENSG00000204569",8689.18647407974,1.13228325493,4.07966475638212e-11,1713,1545,2355,876,593,945,1652.54581057052,1431.23412096947,2420.08585296202,957.813144287335,656.291517725856,813.621975027658
"1656","ENSG00000134531",8442.39492243734,1.14567927113087,9.02305581133209e-09,2221,2620,1948,550,890,961,2142.6177730748,2427.07663232364,2001.83746988111,601.366700180404,984.990642118064,827.397585186856
"1658","ENSG00000183864",7399.92618132971,1.00105505057826,2.84361589450526e-08,74,78,100,12,16,20,71.3884354829063,72.2564798936044,102.76373048671,13.1207280039361,17.707696936954,17.219512698998
"1715","ENSG00000123358",7352.52702073847,1.51378469796768,8.08561600209874e-22,45765,45204,41013,16931,15414,15621,44149.8885118271,41875.4091937243,42146.4887845143,18512.2538195535,17059.152536638,13449.3003935524
"1753","ENSG00000132510",6793.76983641167,1.20832789263393,7.19610753220705e-12,33,37,24,5,12,12,31.8353833910258,34.27550969312,24.6632953168103,5.46697000164004,13.2807727027155,10.3317076193988
"1782","ENSG00000122257",6691.85591210593,1.19229975944068,1.27350152879406e-09,928,1040,800,382,286,396,895.249569299149,963.419731914726,822.109843893678,417.676508125299,316.525082748052,340.946351440161
